femaleScore,time,govScore
0.6039,0,-0.46
0.596,0,-0.33
0.5939,0,-0.03
0.5993,0,-0.11
0.5843,0,-0.05
0.4653,0,-0.4
0.4745,0,-0.16
0.4283,0,-0.49
0.5528,0,-0.95
0.4549,0,-1.58
0.5637,0,0.18
0.4598,0,-0.83
0.6035,0,-0.03
0.4894,0,0.66
0.6087,0,0.44
0.5978,0,-0.54
0.5747,0,-1.4
0.6386,0,-0.39
0.604918133,1,-0.28
0.596456638,1,-0.35
0.595575001,1,-0.13
0.600301471,1,-0.05
0.585819915,1,0
0.469320587,1,-0.46
0.471939026,1,-0.14
0.430482933,1,-0.34
0.556366059,1,-1.03
0.45288402,1,-1.59
0.566427299,1,0.28
0.462112029,1,-0.92
0.604942185,1,0.13
0.491434327,1,0.61
0.608178904,1,0.33
0.598419409,1,-0.53
0.574479962,1,-1.39
0.639347567,1,-0.4
0.605009741,2,-0.15
0.598710464,2,-0.36
0.597150139,2,-0.12
0.60117194,2,0.02
0.586242875,2,0.09
0.478511272,2,-0.33
0.469770976,2,-0.08
0.432446401,2,-0.3
0.559826262,2,-1.09
0.450690436,2,-1.46
0.569416773,2,0.27
0.464376088,2,-0.95
0.605242547,2,0.1
0.491530241,2,0.51
0.610674709,2,0.26
0.599093041,2,-0.55
0.574587781,2,-1.29
0.640355994,2,-0.37
0.604470846,3,-0.1
0.600526174,3,-0.43
0.598332052,3,-0.02
0.601877527,3,0.01
0.587246233,3,0.12
0.479531472,3,-0.27
0.467955641,3,-0.2
0.434136998,3,-0.28
0.563184034,3,-1.12
0.443562007,3,-1.2
0.571685321,3,0.26
0.466630077,3,-0.87
0.603941853,3,0.13
0.493144812,3,0.51
0.612045593,3,0.25
0.599361727,3,-0.61
0.574175642,3,-1.12
0.640979662,3,-0.4
0.604506025,4,0
0.60276432,4,-0.58
0.600930341,4,0
0.602462975,4,-0.04
0.593513053,4,-0.04
0.481334523,4,-0.23
0.465838367,4,-0.16
0.436133198,4,-0.31
0.564409678,4,-1.15
0.444968449,4,-1.1
0.572712813,4,0.2
0.469115031,4,-0.96
0.608628432,4,0.12
0.497086156,4,0.44
0.61135136,4,0.26
0.600595675,4,-0.68
0.576374479,4,-1.07
0.64158317,4,-0.43
0.60447974,5,-0.02
0.598248436,5,-0.47
0.603595036,5,0.06
0.602904198,5,-0.06
0.596553112,5,0.11
0.482920756,5,-0.27
0.46383266,5,-0.18
0.437846477,5,-0.3
0.566363796,5,-1.09
0.446330211,5,-1.14
0.574637054,5,0.2
0.470940545,5,-0.93
0.609624791,5,0.2
0.501893361,5,0.37
0.612679968,5,0.19
0.600482622,5,-0.63
0.579325299,5,-1.16
0.64217577,5,-0.44
0.605357718,6,0.02
0.59953544,6,-0.43
0.60570825,6,0.03
0.60355941,6,-0.06
0.597814683,6,0.22
0.48376223,6,-0.45
0.464060739,6,-0.17
0.439092206,6,-0.29
0.568232033,6,-0.97
0.447146747,6,-1.12
0.575305358,6,0.3
0.472626455,6,-0.87
0.616358353,6,0.17
0.508896613,6,0.41
0.61373721,6,0.21
0.601358173,6,-0.71
0.580667478,6,-1.15
0.642808394,6,-0.41
0.606237257,7,-0.06
0.600387939,7,-0.61
0.607134788,7,-0.02
0.604470225,7,-0.12
0.599074003,7,0.2
0.485185507,7,-0.64
0.463924074,7,-0.33
0.440321639,7,-0.28
0.569589871,7,-0.98
0.448220651,7,-1.19
0.579704419,7,0.4
0.474509845,7,-0.86
0.614522138,7,0.11
0.512104939,7,0.35
0.614714512,7,0.22
0.60258087,7,-0.6
0.581244246,7,-1.28
0.64342048,7,-0.49
0.607323359,8,-0.08
0.60164709,8,-0.64
0.608463541,8,-0.01
0.605089788,8,-0.16
0.599975824,8,0.22
0.486396038,8,-0.76
0.466314903,8,-0.34
0.442159739,8,-0.22
0.571448017,8,-1.1
0.449373261,8,-1.17
0.580964168,8,0.38
0.475875005,8,-0.84
0.617774334,8,0.26
0.514904334,8,0.4
0.615635261,8,0.21
0.602892424,8,-0.64
0.582454623,8,-1.28
0.643686094,8,-0.48
0.608407375,9,0.08
0.602456798,9,-0.63
0.610121404,9,-0.11
0.606062662,9,0.04
0.601286765,9,0.2
0.487398779,9,-0.79
0.468319235,9,-0.33
0.443434531,9,-0.06
0.572508554,9,-0.94
0.450080776,9,-1.19
0.581840917,9,0.31
0.477497848,9,-1.01
0.618477831,9,0.3
0.515702633,9,0.33
0.61686197,9,0.3
0.604074005,9,-0.5
0.582667528,9,-1.18
0.6442499,9,-0.33
