,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
USA,56035.07634,57262.93464,58490.79294,59718.65123,60946.50953,62174.36783,63402.22612,64630.08442,65857.94272,67085.80101,68313.65931
CHN,8100.647799,8719.241533,9337.835268,9956.429002,10575.02274,11193.61647,11812.21021,12430.80394,13049.39767,13667.99141,14286.58514
AUS,62443.83589,64239.90166,66035.96744,67832.03321,69628.09899,71424.16476,73220.23053,75016.29631,76812.36208,78608.42785,80404.49363
BRA,11921.94845,12262.31485,12602.68126,12943.04766,13283.41407,13623.78047,13964.14688,14304.51328,14644.87969,14985.2461,15325.6125
DEU,49058.95643,50191.5802,51324.20397,52456.82774,53589.4515,54722.07527,55854.69904,56987.32281,58119.94658,59252.57035,60385.19412
JPN,36983.49179,37754.03767,38524.58355,39295.12943,40065.67532,40836.2212,41606.76708,42377.31296,43147.85884,43918.40472,44688.9506
SWE,59835.46778,61133.23812,62431.00846,63728.7788,65026.54914,66324.31948,67622.08982,68919.86016,70217.6305,71515.40084,72813.17118
RUS,13156.57247,13639.45015,14122.32783,14605.2055,15088.08318,15570.96086,16053.83853,16536.71621,17019.59388,17502.47156,17985.34924
EGY,3426.055674,3426.932745,3427.809816,3428.686887,3429.563958,3430.441029,3431.3181,3432.195171,3433.072243,3433.949314,3434.826385
IND,1660.417676,1738.449682,1816.481687,1894.513692,1972.545697,2050.577702,2128.609708,2206.641713,2284.673718,2362.705723,2440.737728
NGA,3593.834758,3896.469953,4199.105147,4501.740342,4804.375536,5107.01073,5409.645925,5712.281119,6014.916314,6317.551508,6620.186703
ETH,627.0275181,674.7275249,722.4275318,770.1275386,817.8275454,865.5275523,913.2275591,960.927566,1008.627573,1056.32758,1104.027586
